,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Runes1,Items1,Spells1,Runes2,Items2,Spells2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration35+_total,duration35+_wins,duration35+_winrate,Allies0_winrate,Allies0_samples,Allies1_winrate,Allies1_samples,Allies2_winrate,Allies2_samples,Counters0_winrate,Counters0_samples,Counters1_winrate,Counters1_samples,Counters2_winrate,Counters2_samples,Allies0,Allies1,Allies2,Counters0,Counters1,Counters2
10,9.22.1,Bard,432,Bard,TRUE,,,,,TRUE,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Support',Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575,89,350,50,330,34,4,30,0.5,500,5.5,0.55,6,0.45,0,0,52,3,2,0.625,Electrocute,3117,SummonerFlash,CheapShot,3092,SummonerDot,RelentlessHunter,3107,SummonerExhaust,0.518686297,0.040917516,0.003521779,0.044439296,1.574563542,218,115,0.527522936,385,201,0.522077922,522,255,0.488505747,367,188,0.51226158,274,157,0.572992701,0.7,5,0.7,5,0.695652174,5,0.3,51,0.315789474,51,0.318181818,51,Illaoi,RekSai,Karthus,AurelionSol,Quinn,Kindred
11,9.22.1,Blitzcrank,53,Blitzcrank,TRUE,,,,,TRUE,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Tank',Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40,325,40,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,Aftershock,3117,SummonerFlash,Demolish,3401,SummonerDot,BiscuitDelivery,3050,SummonerExhaust,0.52494382,0.103104727,0.397289157,0.500393883,1.426370866,530,291,0.549056604,1070,597,0.557943925,1333,717,0.537884471,982,464,0.472505092,535,267,0.499065421,0.833333333,5,0.741935484,5,0.707317073,5,0.380952381,111,0.389830508,111,0.403846154,111,Taric,AurelionSol,Poppy,AurelionSol,Rammus,Taric
12,9.22.1,Brand,63,Brand,TRUE,,,,,TRUE,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469,21,340,21.88,3.5,30,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3,1.36,0.625,ManaflowBand,3020,SummonerFlash,Scorch,3151,SummonerDot,EyeballCollection,3116,SummonerExhaust,0.500394945,0.058665431,0.047961075,0.106626506,1.722745307,290,153,0.527586207,554,274,0.494584838,714,348,0.487394958,531,270,0.508474576,443,222,0.501128668,0.842105263,14,0.692307692,14,0.692307692,14,0.298507463,89,0.318181818,89,0.375,89,Nami,Yuumi,Zilean,Kled,KogMaw,Trundle
13,9.22.1,Braum,201,Braum,TRUE,,,,,TRUE,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Support',Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540,87,310.6,45,335,47,4,32.1,1.25,125,8,1,6,0.8,0,0,55.376,3.2,3.5,0.644,Guardian,3401,SummonerFlash,FontOfLife,3117,SummonerDot,BonePlating,3109,SummonerExhaust,0.46578141,0.02268304,0.005885079,0.028568119,1.258741259,134,60,0.447761194,219,93,0.424657534,288,125,0.434027778,220,121,0.55,118,57,0.483050847,0.761904762,1,0.684210526,1,0.666666667,1,0.166666667,20,0.227272727,20,0.238095238,20,Shen,Sylas,Vi,Heimerdinger,Rumble,Bard
14,9.22.1,Caitlyn,51,Caitlyn,TRUE,,,,TRUE,,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481,91,313.7,35,325,28,3.5,30,0.5,650,3.5,0.55,7.4,0.55,0,0,62,2.88,4,0.625,CoupDeGrace,3006,SummonerFlash,FleetFootwork,3031,SummonerHeal,Triumph,3094,SummonerTeleport,0.505876592,0.236561631,0.173076923,0.409638554,2.171762624,1300,695,0.534615385,2374,1226,0.51642797,2979,1500,0.503524673,2134,1038,0.486410497,1423,706,0.496134926,0.595419847,284,0.589041096,284,0.584269663,284,0.414634146,308,0.416666667,308,0.417582418,308,Yorick,Sona,Taliyah,Ziggs,Cassiopeia,Taric
15,9.22.1,Camille,164,Camille,TRUE,TRUE,TRUE,TRUE,,,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68,3.5,2.5,0.644,BonePlating,3078,SummonerFlash,ShieldBash,3074,SummonerTeleport,Triumph,3047,SummonerDot,0.479938272,0.060055607,0.014179796,0.074235403,1.971349536,375,181,0.482666667,677,340,0.502215657,729,331,0.454046639,533,264,0.495309568,278,128,0.460431655,0.736842105,57,0.7,57,0.68,57,0.28125,61,0.329268293,61,0.351351351,61,AurelionSol,Trundle,KogMaw,Cassiopeia,Nocturne,Annie
16,9.22.1,Cassiopeia,69,Cassiopeia,TRUE,,,TRUE,,,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575,90,350,40,328,20,3.5,30,0.5,550,5.5,0.5,8,0.8,0,0,53,3,1.5,0.647,ManaflowBand,3040,SummonerFlash,PhaseRush,3116,SummonerTeleport,RavenousHunter,1056,SummonerDot,0.509624198,0.025278035,0.008109361,0.033387396,2.057325915,132,50,0.378787879,261,129,0.494252874,305,162,0.531147541,246,136,0.552845528,147,79,0.537414966,0.8,19,0.7,19,0.685714286,19,0.259259259,27,0.275,27,0.342857143,27,MonkeyKing,Zilean,Swain,Heimerdinger,Janna,Pantheon
17,9.22.1,Chogath,31,Cho'Gath,TRUE,TRUE,,TRUE,,,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40,345,38,3.5,32.1,1.25,125,9,0.85,7.206,0.45,0,0,69,4.2,1.44,0.625,Demolish,3111,SummonerFlash,Overgrowth,3047,SummonerTeleport,CheapShot,3800,SummonerDot,0.487721302,0.040569972,0.007043559,0.047613531,2.031055901,189,99,0.523809524,417,206,0.494004796,499,220,0.440881764,387,196,0.506459948,259,133,0.513513514,0.714285714,56,0.6875,56,0.666666667,56,0.294117647,47,0.327272727,47,0.333333333,47,Shen,Taliyah,Gangplank,Taric,Velkoz,Annie
18,9.22.1,Corki,42,Corki,FALSE,,,TRUE,,,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518,87,350.16,34,325,28,3.5,30,0.5,550,5.5,0.55,7.424,0.55,0,0,55,2.5,2.3,0.638,Triumph,3078,SummonerFlash,CoupDeGrace,3020,SummonerTeleport,FleetFootwork,1055,SummonerHeal,0.435185185,0.007506951,0.001645042,0.009151993,2.137829912,49,23,0.469387755,66,33,0.5,98,40,0.408163265,64,25,0.390625,47,20,0.425531915,0.7,10,0.6875,10,0.6875,10,0.166666667,8,0.2,8,0.230769231,8,Varus,Jinx,MasterYi,Lulu,Twitch,Nocturne
19,9.22.1,Darius,122,Darius,TRUE,TRUE,,,,,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Fighter',Tank',Mana,9,5,1,2,Darius.png,champion0.png,champion,432,48,48,48,582.24,100,263,37.5,340,39,4,32.1,1.25,175,10,0.95,6.6,0.35,0,0,64,5,1,0.625,Triumph,3078,SummonerFlash,Conqueror,3111,SummonerHaste,CoupDeGrace,3047,SummonerTeleport,0.505764796,0.120574606,0.337164041,0.457738647,2.094309463,674,350,0.519287834,1230,633,0.514634146,1541,790,0.512654121,1099,524,0.476797088,660,335,0.507575758,0.702702703,172,0.642857143,172,0.625,172,0.368421053,149,0.387755102,149,0.391891892,149,Taric,Jayce,AurelionSol,Ivern,Taliyah,Quinn
20,9.22.1,Diana,131,Diana,TRUE,,,TRUE,,,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Fighter',Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594,95,372,20,345,31,3.6,32.1,1.25,150,7.5,0.85,8,0.8,0,0,53.04,3,2.25,0.625,Electrocute,3020,SummonerFlash,EyeballCollection,3089,SummonerDot,RavenousHunter,1056,SummonerTeleport,0.492090637,0.054193698,0.026992586,0.081186284,2.196370107,275,160,0.581818182,579,291,0.502590674,670,320,0.47761194,513,240,0.467836257,302,140,0.463576159,0.692307692,56,0.6875,56,0.680851064,56,0.263157895,74,0.333333333,74,0.333333333,74,Malzahar,KogMaw,Graves,Ziggs,Shyvana,Viktor
21,9.22.1,Draven,119,Draven,TRUE,,,,TRUE,,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574,88,360.56,39,330,29,3.3,30,0.5,550,3.75,0.7,8.042,0.65,0,0,60,3.61,2.7,0.679,CoupDeGrace,3031,SummonerFlash,Triumph,3072,SummonerHeal,PressTheAttack,3006,SummonerBarrier,0.510366826,0.072636701,0.142863763,0.215500463,2.160702488,476,229,0.481092437,757,402,0.531043593,924,497,0.537878788,630,320,0.507936508,348,152,0.436781609,0.698113208,78,0.677419355,78,0.655172414,78,0.290322581,85,0.307692308,85,0.333333333,85,Sion,Quinn,Ezreal,Ziggs,AurelionSol,Anivia
22,9.22.1,DrMundo,36,Dr. Mundo,FALSE,TRUE,TRUE,,,,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...",Fighter',Tank',None,5,7,6,5,DrMundo.png,champion0.png,champion,96,96,48,48,582.52,89,0,0,345,36,3.5,32.1,1.25,125,8,0.75,0,0,0,0,61.27,3.5,2.8,0.721,Triumph,3065,SummonerFlash,MagicalFootwear,1413,SummonerSmite,FleetFootwork,3047,SummonerTeleport,0.507686676,0.063299351,0.072497683,0.135797034,2.024489183,354,156,0.440677966,683,339,0.496339678,822,453,0.551094891,560,294,0.525,313,145,0.463258786,0.733333333,93,0.682926829,93,0.652173913,93,0.355555556,83,0.38,83,0.38,83,Kindred,Cassiopeia,Nocturne,Kindred,Chogath,Singed
23,9.22.1,Ekko,245,Ekko,TRUE,,TRUE,TRUE,,,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",Assassin',Fighter',Mana,5,3,7,8,Ekko.png,champion0.png,champion,144,96,48,48,585,85,280,50,340,32,3,32,1.25,125,9,0.9,7,0.8,0,0,58,3,3.3,0.688,SuddenImpact,3020,SummonerFlash,EyeballCollection,3152,SummonerSmite,RavenousHunter,3100,SummonerDot,0.531934307,0.203151066,0.419995366,0.623146432,2.387805619,1075,559,0.52,2041,1149,0.562959334,2525,1337,0.52950495,1922,1015,0.528095734,1205,604,0.501244813,0.638297872,230,0.635416667,230,0.630136986,230,0.389705882,243,0.441558442,243,0.446428571,243,Taliyah,Elise,XinZhao,Udyr,Taliyah,AurelionSol
24,9.22.1,Elise,60,Elise,TRUE,,TRUE,,,,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",Mage',Fighter',Mana,6,5,7,9,Elise.png,champion0.png,champion,192,96,48,48,534,93,324,50,330,27,3.35,30,0.5,550,5.5,0.6,6,0.8,0,0,55,3,1.75,0.625,Electrocute,1402,SummonerFlash,CheapShot,3020,SummonerSmite,RelentlessHunter,3165,SummonerDot,0.490514905,0.068396664,0.04242354,0.110820204,2.15796225,399,203,0.50877193,711,369,0.518987342,894,434,0.485458613,575,273,0.474782609,373,169,0.45308311,0.75,68,0.708333333,68,0.676470588,68,0.321428571,80,0.333333333,80,0.34,80,Zac,Yorick,Kassadin,Sejuani,Illaoi,Amumu
25,9.22.1,Evelynn,28,Evelynn,TRUE,,TRUE,,,,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",Assassin',Mage',Mana,4,2,7,10,Evelynn.png,champion0.png,champion,240,96,48,48,572,84,315.6,42,335,37,3.5,32.1,1.25,125,8.5,0.75,8.108,0.6,0,0,61,3,2.1,0.667,SuddenImpact,1402,SummonerFlash,EyeballCollection,3020,SummonerSmite,Electrocute,3100,SummonerDot,0.481599273,0.050996293,0.165894347,0.216890639,2.446933769,273,122,0.446886447,486,230,0.473251029,621,271,0.436392915,509,273,0.536345776,312,164,0.525641026,0.692307692,57,0.692307692,57,0.65625,57,0.25,71,0.285714286,71,0.3,71,KogMaw,Ziggs,Chogath,Poppy,Ziggs,Braum
26,9.22.1,Ezreal,81,Ezreal,FALSE,,,TRUE,TRUE,,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Marksman',Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491,86,360.6,42,325,22,3.5,30,0.5,550,4,0.55,8.092,0.65,0,0,60,2.5,1.5,0.625,Kleptomancy,3042,SummonerFlash,CosmicInsight,3158,SummonerHeal,MagicalFootwear,3025,SummonerTeleport,0.455817783,0.168860056,0.034383689,0.203243744,2.061619348,890,331,0.371910112,1642,702,0.427527406,2081,1010,0.485343585,1638,826,0.504273504,1037,453,0.43683703,0.655172414,222,0.561403509,222,0.557632399,222,0.357894737,223,0.363636364,223,0.369565217,223,Draven,Ashe,Shaco,Kled,Corki,Cassiopeia
27,9.22.1,Fiddlesticks,9,Fiddlesticks,TRUE,,TRUE,,,TRUE,the Harbinger of Doom,"Fiddlesticks is a ghastly, living scarecrow who stalks the darkness, wielding a cruel scythe and preying upon the unwary. Once a lonely man accused of bringing famine to his village, he was tied up and left to starve in his own barren field. Resurrected...",Mage',Support',Mana,2,3,9,9,Fiddlesticks.png,champion0.png,champion,336,96,48,48,524.4,80,500,28,335,30,3.5,30,0.5,480,5.5,0.6,8,0.8,0,0,48.36,2.625,2.11,0.625,ManaflowBand,3157,SummonerFlash,PerfectTiming,3020,SummonerDot,CosmicInsight,3098,SummonerSmite,0.5,0.032205746,0.010866543,0.043072289,1.647105652,184,86,0.467391304,325,156,0.48,372,189,0.508064516,324,162,0.5,185,102,0.551351351,0.711111111,19,0.705882353,19,0.7,19,0.2,46,0.263157895,46,0.310344828,46,Kassadin,Zed,Taric,Zilean,Poppy,Bard
