,Unnamed: 0,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Runes1,Items1,Spells1,Runes2,Items2,Spells2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,Allies0,Allies1,Allies2,Counters0,Counters1,Counters2
10,10,9.22.1,Bard,432,Bard,True,,,,,True,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Support',Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625,8112,3117,4,8126,3092,14,8105,3107,3,0.5291916167664671,0.03807569539443685,0.0035624715002279977,0.04163816689466484,1.5784276003591124,Caitlyn,LeeSin,Kaisa,LeeSin,Yasuo,Kaisa
11,11,9.22.1,Blitzcrank,53,Blitzcrank,True,,,,,True,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Tank',Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40.0,325,40.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,8439,3117,4,8446,3401,14,8345,3050,3,0.5275590551181102,0.10496466028271774,0.4148996808025536,0.5198643410852714,1.4330977089286607,Kaisa,Caitlyn,Ekko,Senna,Thresh,Caitlyn
12,12,9.22.1,Brand,63,Brand,True,,,,,True,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469.0,21.0,340,21.88,3.5,30.0,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3.0,1.36,0.625,8226,3020,4,8237,3151,14,8138,3116,3,0.5035429583702391,0.06435248518011856,0.056344049247606026,0.12069653442772454,1.73345283144128,Caitlyn,Kaisa,Ashe,Senna,Kaisa,Caitlyn
13,13,9.22.1,Braum,201,Braum,True,,,,,True,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Support',Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540.0,87,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.0,1.0,6.0,0.8,0,0,55.37600000000001,3.2,3.5,0.644,8465,3401,4,8463,3117,14,8473,3109,3,0.46043165467625896,0.023768809849521202,0.006383948928408573,0.030152758777929774,1.2591697781682407,Lucian,Ekko,Kaisa,Kaisa,Caitlyn,Thresh
14,14,9.22.1,Caitlyn,51,Caitlyn,True,,,,True,,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481.0,91,313.7,35.0,325,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,62.0,2.88,4.0,0.625,8014,3006,4,8021,3031,7,9111,3094,12,0.5015227189669874,0.2339546283629731,0.17735408116735066,0.4113087095303237,2.166074313408724,Senna,Ekko,Thresh,Senna,Kaisa,Ashe
15,15,9.22.1,Camille,164,Camille,True,True,True,True,,,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644,8473,3078,4,8401,3074,12,9111,3047,14,0.471195652173913,0.05243958048335613,0.013337893296853623,0.06577747378020976,1.957811649428416,Senna,Kaisa,Caitlyn,Senna,Kaisa,Caitlyn
16,16,9.22.1,Cassiopeia,69,Cassiopeia,True,,,True,,,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575.0,90,350.0,40.0,328,20.0,3.5,30.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647,8226,3040,4,8230,3116,12,8135,1056,14,0.5180572851805728,0.02288531691746466,0.0069824441404468755,0.029867761057911536,2.05,Caitlyn,Thresh,Kaisa,Kaisa,Caitlyn,Thresh
17,17,9.22.1,Chogath,31,Cho'Gath,True,True,,True,,,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40.0,345,38.0,3.5,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,69.0,4.2,1.44,0.625,8446,3111,4,8451,3047,12,8126,3800,14,0.4813052345343304,0.04192316461468308,0.007837437300501597,0.04976060191518468,2.0299293513166345,Yasuo,Senna,Kaisa,Kaisa,LeeSin,Yasuo
18,18,9.22.1,Corki,42,Corki,False,,,True,,,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518.0,87,350.16,34.0,325,28.0,3.5,30.0,0.5,550,5.5,0.55,7.423999999999999,0.55,0,0,55.0,2.5,2.3,0.638,9111,3078,4,8014,3020,12,8021,1055,7,0.43018867924528303,0.007552439580483356,0.0016529867761057911,0.009205426356589145,2.1365853658536587,Caitlyn,Kaisa,Thresh,Thresh,Kaisa,Caitlyn
19,19,9.22.1,Darius,122,Darius,True,True,,,,,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Fighter',Tank',Mana,9,5,1,2,Darius.png,champion0.png,champion,432,48,48,48,582.24,100,263.0,37.5,340,39.0,4.0,32.1,1.25,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625,9111,3078,4,8010,3111,6,8014,3047,12,0.5047998126902364,0.12172252621979025,0.3582991336069312,0.4800216598267214,2.104717670838172,Senna,Caitlyn,Kaisa,Senna,Yasuo,Caitlyn
20,20,9.22.1,Diana,131,Diana,True,,,True,,,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Fighter',Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594.0,95,372.0,20.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,0,0,53.04,3.0,2.25,0.625,8112,3020,4,8138,3089,14,8135,1056,12,0.5050451407328731,0.053665070679434566,0.028357273141814864,0.08202234382124943,2.217177050334389,Senna,Caitlyn,Kaisa,Yasuo,Senna,Kaisa
21,21,9.22.1,Draven,119,Draven,True,,,,True,,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574.0,88,360.56,39.0,330,29.0,3.3,30.0,0.5,550,3.75,0.7,8.042,0.65,0,0,60.0,3.61,2.7,0.679,8014,3031,4,9111,3072,7,8005,3006,21,0.5156059991892987,0.07030893752849977,0.13554491564067486,0.20585385316917465,2.153872704680381,Senna,Ekko,Thresh,Senna,Caitlyn,Kaisa
22,22,9.22.1,DrMundo,36,Dr. Mundo,False,True,True,,,,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...",Fighter',Tank',None,5,7,6,5,DrMundo.png,champion0.png,champion,96,96,48,48,582.52,89,0.0,0.0,345,36.0,3.5,32.1,1.25,125,8.0,0.75,0.0,0.0,0,0,61.27,3.5,2.8,0.721,9111,3065,4,8304,1413,11,8021,3047,12,0.5155574762316335,0.0659484724122207,0.07729138166894665,0.14323985408116735,2.0325912733748885,Caitlyn,Ashe,Senna,Caitlyn,Kaisa,Ekko
23,23,9.22.1,Ekko,245,Ekko,True,,True,True,,,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",Assassin',Fighter',Mana,5,3,7,8,Ekko.png,champion0.png,champion,144,96,48,48,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,0,0,58.0,3.0,3.3,0.688,8143,3020,4,8138,3152,11,8135,3100,14,0.5330457770975372,0.20482786137710896,0.39440834473324216,0.5992362061103511,2.3791677571316407,Senna,Caitlyn,Kaisa,Kaisa,Senna,Caitlyn
24,24,9.22.1,Elise,60,Elise,True,,True,,,,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",Mage',Fighter',Mana,6,5,7,9,Elise.png,champion0.png,champion,192,96,48,48,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,0,0,55.0,3.0,1.75,0.625,8112,1402,4,8126,3020,11,8105,3165,14,0.4880514705882353,0.062015503875968984,0.035995212038303685,0.09801071591427267,2.152782271109673,Senna,Caitlyn,Kaisa,Kaisa,LeeSin,Senna
25,25,9.22.1,Evelynn,28,Evelynn,True,,True,,,,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",Assassin',Mage',Mana,4,2,7,10,Evelynn.png,champion0.png,champion,240,96,48,48,572.0,84,315.6,42.0,335,37.0,3.5,32.1,1.25,125,8.5,0.75,8.107999999999999,0.6,0,0,61.0,3.0,2.1,0.667,8143,1402,4,8138,3020,11,8112,3100,14,0.4883073496659242,0.05118559051527588,0.15130528955768355,0.20249088007295946,2.4416699960047943,Caitlyn,Senna,Kaisa,Kaisa,Caitlyn,Senna
26,26,9.22.1,Ezreal,81,Ezreal,False,,,True,True,,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Marksman',Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491.0,86,360.6,42.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.092,0.65,0,0,60.0,2.5,1.5,0.625,8359,3042,4,8347,3158,7,8304,3025,12,0.4542461005199307,0.1644436844505244,0.035339717282261734,0.19978340173278614,2.0607416669408707,Senna,Ekko,LeeSin,Caitlyn,Kaisa,Senna
27,27,9.22.1,Fiddlesticks,9,Fiddlesticks,True,,True,,,True,the Harbinger of Doom,"Fiddlesticks is a ghastly, living scarecrow who stalks the darkness, wielding a cruel scythe and preying upon the unwary. Once a lonely man accused of bringing famine to his village, he was tied up and left to starve in his own barren field. Resurrected...",Mage',Support',Mana,2,3,9,9,Fiddlesticks.png,champion0.png,champion,336,96,48,48,524.4,80,500.0,28.0,335,30.0,3.5,30.0,0.5,480,5.5,0.6,8.0,0.8,0,0,48.36,2.625,2.11,0.625,8226,3157,4,8313,3020,14,8347,3098,11,0.5073126142595978,0.031178750569995438,0.010231418148654813,0.041410168718650255,1.6523164647184605,Kaisa,Caitlyn,Ashe,Kaisa,Senna,Yasuo
28,28,9.22.1,Fiora,114,Fiora,False,True,,,,,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...",Fighter',Assassin',Mana,10,4,2,3,Fiora.png,champion0.png,champion,384,96,48,48,550.0,85,300.0,40.0,345,33.0,3.5,32.1,1.25,150,8.5,0.55,8.0,0.7,0,0,68.0,3.3,3.2,0.69,9111,3074,4,8014,3078,12,8010,1055,14,0.5089123317570026,0.07834587323301412,0.121922024623803,0.20026789785681715,1.9944347173586796,Kaisa,Caitlyn,Senna,Kaisa,Caitlyn,Senna
29,29,9.22.1,Fizz,105,Fizz,True,,,True,,,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",Assassin',Fighter',Mana,6,4,7,6,Fizz.png,champion0.png,champion,432,96,48,48,570.0,98,317.2,37.0,335,22.412,3.4,32.1,1.25,175,8.0,0.7,6.0,0.8,0,0,58.04,3.0,3.1,0.6579999999999999,8112,3020,4,8143,3100,14,8138,3152,12,0.5279549718574109,0.07595189238486093,0.1530437756497948,0.2289956680346557,2.472875289494,Kaisa,Senna,Caitlyn,Kaisa,Senna,Caitlyn
30,30,9.22.1,Galio,3,Galio,True,,,True,,True,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",Tank',Mage',Mana,1,10,6,5,Galio.png,champion1.png,champion,0,0,48,48,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,0,0,59.0,3.5,1.5,0.625,8439,3152,4,8451,3111,12,8473,1056,14,0.5179487179487179,0.04445964432284542,0.010117419060647516,0.05457706338349293,1.8899303052150924,Kaisa,Senna,Caitlyn,Kaisa,Thresh,Caitlyn
31,31,9.22.1,Gangplank,41,Gangplank,False,True,,,,,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",Fighter',,Mana,7,6,4,9,Gangplank.png,champion1.png,champion,48,0,48,48,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,0,0,64.0,3.0,3.2,0.6579999999999999,8446,3078,4,8437,3508,12,8473,3047,14,0.4916979110873058,0.05320907432740538,0.015190378476972185,0.06839945280437756,1.9126035948767623,Senna,Kaisa,Thresh,Caitlyn,Senna,Yasuo
32,32,9.22.1,Garen,86,Garen,False,True,,True,,,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",Fighter',Tank',None,7,7,1,5,Garen.png,champion1.png,champion,96,0,48,48,620.0,84,0.0,0.0,340,36.0,3.0,32.1,1.25,175,8.0,0.5,0.0,0.0,0,0,66.0,4.5,3.65,0.625,9111,3078,4,8010,1054,12,8014,3111,14,0.5189967717904147,0.11476858185134517,0.2491450068399453,0.3639135886912905,2.2420639190788765,Caitlyn,Senna,Kaisa,Kaisa,Senna,Caitlyn
33,33,9.22.1,Gnar,150,Gnar,True,True,,,,,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...",Fighter',Tank',Rage,6,5,5,8,Gnar.png,champion1.png,champion,144,0,48,48,510.0,65,100.0,0.0,325,32.0,2.5,30.0,0.5,175,4.5,1.75,0.0,0.0,0,0,59.0,3.0,6.0,0.625,9111,3071,4,9104,1055,12,8014,3047,14,0.5048439181916039,0.026476288189694483,0.00515845873233014,0.03163474692202462,1.8033084526931609,Senna,Caitlyn,Ekko,Caitlyn,Ryze,Kaisa
34,34,9.22.1,Gragas,79,Gragas,True,,True,,,True,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...",Fighter',Mage',Mana,4,7,6,5,Gragas.png,champion1.png,champion,192,0,48,48,600.0,95,400.0,47.0,330,35.0,3.6,32.1,1.25,125,5.5,0.5,6.0,0.8,0,0,64.0,3.5,2.05,0.675,8138,1402,4,8143,3020,11,8124,3157,14,0.43246517262265294,0.0470531235750114,0.005984952120383037,0.05303807569539444,1.8207547169811318,Yasuo,Caitlyn,Kaisa,LeeSin,Caitlyn,Kaisa
35,35,9.22.1,Graves,104,Graves,False,,True,,,,the Outlaw,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...",Marksman',,Mana,8,5,3,3,Graves.png,champion1.png,champion,240,0,48,48,555.0,92,325.0,40.0,340,33.0,3.4,30.0,1.0,425,8.0,0.7,8.0,0.7,0,0,68.0,3.0,2.6,0.475,9111,1412,4,9104,3006,11,8014,3142,14,0.5313609467455621,0.048164614683082536,0.0066974464204286365,0.054862061103511175,2.295480483907784,Kaisa,Senna,Caitlyn,Kaisa,Thresh,Caitlyn
36,36,9.22.1,Hecarim,120,Hecarim,True,True,True,,,,the Shadow of War,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...",Fighter',Tank',Mana,8,6,4,6,Hecarim.png,champion1.png,champion,288,0,48,48,580.0,90,277.2,40.0,345,36.0,4.0,32.1,1.25,175,7.0,0.75,6.5,0.6,0,0,66.0,3.2,2.5,0.67,9111,3078,11,8010,3047,6,8014,3053,14,0.5072393822393823,0.0590515275877793,0.044374145006839935,0.10342567259461924,2.320273631840796,Senna,Caitlyn,Kaisa,Caitlyn,Senna,Thresh
