,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Allies0,Counters0,Runes1,Items1,Spells1,Allies1,Counters1,Runes2,Items2,Spells2,Allies2,Counters2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration35+_total,duration35+_wins,duration35+_winrate,Allies0_winrate,Allies0_samples,Allies1_winrate,Allies1_samples,Allies2_winrate,Allies2_samples,Counters0_winrate,Counters0_samples,Counters1_winrate,Counters1_samples,Counters2_winrate,Counters2_samples
10,9.22.1,Bard,432,Bard,TRUE,,,,,TRUE,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Support',Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575,89,350,50,330,34,4,30,0.5,500,5.5,0.55,6,0.45,0,0,52,3,2,0.625,8112,3117,4,420,136,8126,3092,14,421,133,8105,3107,3,30,203,0.5186862967157417,0.040917516218721035,0.0035217794253938834,0.04443929564411492,1.5745635423778406,218,115,0.5275229357798165,385,201,0.522077922077922,522,255,0.4885057471264368,367,188,0.5122615803814714,274,157,0.572992700729927,0.7,5,0.7,5,0.6956521739130435,5,0.3,51,0.3157894736842105,51,0.3181818181818182,51
11,9.22.1,Blitzcrank,53,Blitzcrank,TRUE,,,,,TRUE,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Tank',Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40,325,40,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,8439,3117,4,44,136,8446,3401,14,136,33,8345,3050,3,78,44,0.5249438202247191,0.1031047265987025,0.39728915662650605,0.5003938832252085,1.4263708664713268,530,291,0.5490566037735849,1070,597,0.5579439252336449,1333,717,0.5378844711177795,982,464,0.4725050916496945,535,267,0.49906542056074765,0.8333333333333334,5,0.7419354838709677,5,0.7073170731707317,5,0.38095238095238093,111,0.3898305084745763,111,0.40384615384615385,111
12,9.22.1,Brand,63,Brand,TRUE,,,,,TRUE,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469,21,340,21.88,3.5,30,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3,1.36,0.625,8226,3020,4,267,240,8237,3151,14,350,96,8138,3116,3,26,48,0.5003949447077409,0.05866543095458758,0.04796107506950881,0.10662650602409639,1.722745307040919,290,153,0.5275862068965518,554,274,0.49458483754512633,714,348,0.48739495798319327,531,270,0.5084745762711864,443,222,0.5011286681715575,0.8421052631578947,14,0.6923076923076923,14,0.6923076923076923,14,0.29850746268656714,89,0.3181818181818182,89,0.375,89
13,9.22.1,Braum,201,Braum,TRUE,,,,,TRUE,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Support',Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540,87,310.6,45,335,47,4,32.1,1.25,125,8,1,6,0.8,0,0,55.376,3.2,3.5,0.644,8465,3401,4,98,74,8463,3117,14,517,68,8473,3109,3,254,432,0.46578140960163433,0.02268303985171455,0.005885078776645042,0.028568118628359594,1.2587412587412588,134,60,0.44776119402985076,219,93,0.4246575342465753,288,125,0.4340277777777778,220,121,0.55,118,57,0.4830508474576271,0.7619047619047619,1,0.6842105263157895,1,0.6666666666666666,1,0.16666666666666666,20,0.22727272727272727,20,0.23809523809523808,20
14,9.22.1,Caitlyn,51,Caitlyn,TRUE,,,,TRUE,,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481,91,313.7,35,325,28,3.5,30,0.5,650,3.5,0.55,7.4,0.55,0,0,62,2.88,4,0.625,8014,3006,4,83,115,8021,3031,7,37,69,9111,3094,12,163,44,0.5058765915768854,0.23656163113994438,0.17307692307692307,0.40963855421686746,2.171762623790338,1300,695,0.5346153846153846,2374,1226,0.5164279696714406,2979,1500,0.5035246727089627,2134,1038,0.48641049671977504,1423,706,0.4961349262122277,0.5954198473282443,284,0.589041095890411,284,0.5842696629213483,284,0.4146341463414634,308,0.4166666666666667,308,0.4175824175824176,308
15,9.22.1,Camille,164,Camille,TRUE,TRUE,TRUE,TRUE,,,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68,3.5,2.5,0.644,8473,3078,4,136,69,8401,3074,12,48,56,9111,3047,14,96,1,0.4799382716049383,0.06005560704355885,0.014179796107506951,0.0742354031510658,1.9713495356648885,375,181,0.4826666666666667,677,340,0.5022156573116692,729,331,0.4540466392318244,533,264,0.49530956848030017,278,128,0.460431654676259,0.7368421052631579,57,0.7,57,0.68,57,0.28125,61,0.32926829268292684,61,0.35135135135135137,61
16,9.22.1,Cassiopeia,69,Cassiopeia,TRUE,,,TRUE,,,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575,90,350,40,328,20,3.5,30,0.5,550,5.5,0.5,8,0.8,0,0,53,3,1.5,0.647,8226,3040,4,62,74,8230,3116,12,26,40,8135,1056,14,50,80,0.5096241979835013,0.025278035217794256,0.008109360518999072,0.03338739573679333,2.0573259146855505,132,50,0.3787878787878788,261,129,0.4942528735632184,305,162,0.5311475409836065,246,136,0.5528455284552846,147,79,0.5374149659863946,0.8,19,0.7,19,0.6857142857142857,19,0.25925925925925924,27,0.275,27,0.34285714285714286,27
17,9.22.1,Chogath,31,Cho'Gath,TRUE,TRUE,,TRUE,,,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40,345,38,3.5,32.1,1.25,125,9,0.85,7.206,0.45,0,0,69,4.2,1.44,0.625,8446,3111,4,98,44,8451,3047,12,163,161,8126,3800,14,41,1,0.48772130211307824,0.04056997219647822,0.007043558850787767,0.04761353104726598,2.031055900621118,189,99,0.5238095238095238,417,206,0.4940047961630695,499,220,0.4408817635270541,387,196,0.5064599483204134,259,133,0.5135135135135135,0.7142857142857143,56,0.6875,56,0.6666666666666666,56,0.29411764705882354,47,0.32727272727272727,47,0.3333333333333333,47
18,9.22.1,Corki,42,Corki,FALSE,,,TRUE,,,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518,87,350.16,34,325,28,3.5,30,0.5,550,5.5,0.55,7.424,0.55,0,0,55,2.5,2.3,0.638,9111,3078,4,110,117,8014,3020,12,222,29,8021,1055,7,11,56,0.4351851851851852,0.007506950880444856,0.0016450417052826692,0.009151992585727525,2.1378299120234603,49,23,0.46938775510204084,66,33,0.5,98,40,0.40816326530612246,64,25,0.390625,47,20,0.425531914893617,0.7,10,0.6875,10,0.6875,10,0.16666666666666666,8,0.2,8,0.23076923076923078,8
19,9.22.1,Darius,122,Darius,TRUE,TRUE,,,,,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Fighter',Tank',Mana,9,5,1,2,Darius.png,champion0.png,champion,432,48,48,48,582.24,100,263,37.5,340,39,4,32.1,1.25,175,10,0.95,6.6,0.35,0,0,64,5,1,0.625,9111,3078,4,44,427,8010,3111,6,126,163,8014,3047,12,136,133,0.5057647963105304,0.12057460611677479,0.3371640407784986,0.4577386468952734,2.094309462915601,674,350,0.5192878338278932,1230,633,0.5146341463414634,1541,790,0.5126541207008436,1099,524,0.4767970882620564,660,335,0.5075757575757576,0.7027027027027027,172,0.6428571428571429,172,0.625,172,0.3684210526315789,149,0.3877551020408163,149,0.3918918918918919,149
20,9.22.1,Diana,131,Diana,TRUE,,,TRUE,,,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Fighter',Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594,95,372,20,345,31,3.6,32.1,1.25,150,7.5,0.85,8,0.8,0,0,53.04,3,2.25,0.625,8112,3020,4,90,115,8138,3089,14,96,102,8135,1056,12,104,112,0.4920906370243694,0.054193697868396666,0.026992585727525487,0.08118628359592216,2.1963701067615657,275,160,0.5818181818181818,579,291,0.5025906735751295,670,320,0.47761194029850745,513,240,0.4678362573099415,302,140,0.46357615894039733,0.6923076923076923,56,0.6875,56,0.6808510638297872,56,0.2631578947368421,74,0.3333333333333333,74,0.3333333333333333,74
21,9.22.1,Draven,119,Draven,TRUE,,,,TRUE,,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574,88,360.56,39,330,29,3.3,30,0.5,550,3.75,0.7,8.042,0.65,0,0,60,3.61,2.7,0.679,8014,3031,4,14,115,9111,3072,7,133,136,8005,3006,21,81,34,0.5103668261562998,0.07263670064874884,0.1428637627432808,0.21550046339202966,2.16070248843867,476,229,0.4810924369747899,757,402,0.5310435931307794,924,497,0.5378787878787878,630,320,0.5079365079365079,348,152,0.4367816091954023,0.6981132075471698,78,0.6774193548387096,78,0.6551724137931034,78,0.2903225806451613,85,0.3076923076923077,85,0.3333333333333333,85
22,9.22.1,DrMundo,36,Dr. Mundo,FALSE,TRUE,TRUE,,,,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...",Fighter',Tank',None,5,7,6,5,DrMundo.png,champion0.png,champion,96,96,48,48,582.52,89,0,0,345,36,3.5,32.1,1.25,125,8,0.75,0,0,0,0,61.27,3.5,2.8,0.721,9111,3065,4,203,203,8304,1413,11,69,31,8021,3047,12,56,27,0.5076866764275256,0.06329935125115849,0.07249768303985171,0.1357970342910102,2.0244891826923075,354,156,0.4406779661016949,683,339,0.49633967789165445,822,453,0.551094890510949,560,294,0.525,313,145,0.46325878594249204,0.7333333333333333,93,0.6829268292682927,93,0.6521739130434783,93,0.35555555555555557,83,0.38,83,0.38,83
23,9.22.1,Ekko,245,Ekko,TRUE,,TRUE,TRUE,,,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",Assassin',Fighter',Mana,5,3,7,8,Ekko.png,champion0.png,champion,144,96,48,48,585,85,280,50,340,32,3,32,1.25,125,9,0.9,7,0.8,0,0,58,3,3.3,0.688,8143,3020,4,163,77,8138,3152,11,60,163,8135,3100,14,5,136,0.531934306569343,0.20315106580166822,0.41999536607970345,0.6231464318813716,2.387805619490164,1075,559,0.52,2041,1149,0.5629593336599706,2525,1337,0.5295049504950495,1922,1015,0.5280957336108221,1205,604,0.5012448132780083,0.6382978723404256,230,0.6354166666666666,230,0.6301369863013698,230,0.3897058823529412,243,0.44155844155844154,243,0.44642857142857145,243
24,9.22.1,Elise,60,Elise,TRUE,,TRUE,,,,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",Mage',Fighter',Mana,6,5,7,9,Elise.png,champion0.png,champion,192,96,48,48,534,93,324,50,330,27,3.35,30,0.5,550,5.5,0.6,6,0.8,0,0,55,3,1.75,0.625,8112,1402,4,154,113,8126,3020,11,83,420,8105,3165,14,38,32,0.4905149051490515,0.06839666357738647,0.04242354031510658,0.11082020389249306,2.157962250320689,399,203,0.5087719298245614,711,369,0.5189873417721519,894,434,0.4854586129753915,575,273,0.4747826086956522,373,169,0.45308310991957107,0.75,68,0.7083333333333334,68,0.6764705882352942,68,0.32142857142857145,80,0.3333333333333333,80,0.34,80
25,9.22.1,Evelynn,28,Evelynn,TRUE,,TRUE,,,,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",Assassin',Mage',Mana,4,2,7,10,Evelynn.png,champion0.png,champion,240,96,48,48,572,84,315.6,42,335,37,3.5,32.1,1.25,125,8.5,0.75,8.108,0.6,0,0,61,3,2.1,0.667,8143,1402,4,96,78,8138,3020,11,115,115,8112,3100,14,31,201,0.48159927305770106,0.05099629286376274,0.16589434661723818,0.2168906394810009,2.44693376941946,273,122,0.4468864468864469,486,230,0.4732510288065844,621,271,0.4363929146537842,509,273,0.5363457760314342,312,164,0.5256410256410257,0.6923076923076923,57,0.6923076923076923,57,0.65625,57,0.25,71,0.2857142857142857,71,0.3,71
26,9.22.1,Ezreal,81,Ezreal,FALSE,,,TRUE,TRUE,,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Marksman',Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491,86,360.6,42,325,22,3.5,30,0.5,550,4,0.55,8.092,0.65,0,0,60,2.5,1.5,0.625,8359,3042,4,119,240,8347,3158,7,22,42,8304,3025,12,35,69,0.45581778265642153,0.16886005560704356,0.03438368860055607,0.20324374420759964,2.061619348054679,890,331,0.37191011235955057,1642,702,0.42752740560292324,2081,1010,0.4853435848149928,1638,826,0.5042735042735043,1037,453,0.43683702989392476,0.6551724137931034,222,0.5614035087719298,222,0.557632398753894,222,0.35789473684210527,223,0.36363636363636365,223,0.3695652173913043,223
27,9.22.1,Fiddlesticks,9,Fiddlesticks,TRUE,,TRUE,,,TRUE,the Harbinger of Doom,"Fiddlesticks is a ghastly, living scarecrow who stalks the darkness, wielding a cruel scythe and preying upon the unwary. Once a lonely man accused of bringing famine to his village, he was tied up and left to starve in his own barren field. Resurrected...",Mage',Support',Mana,2,3,9,9,Fiddlesticks.png,champion0.png,champion,336,96,48,48,524.4,80,500,28,335,30,3.5,30,0.5,480,5.5,0.6,8,0.8,0,0,48.36,2.625,2.11,0.625,8226,3157,4,38,26,8313,3020,14,238,78,8347,3098,11,44,432,0.5,0.032205746061167745,0.010866543095458758,0.0430722891566265,1.6471056522233596,184,86,0.4673913043478261,325,156,0.48,372,189,0.5080645161290323,324,162,0.5,185,102,0.5513513513513514,0.7111111111111111,19,0.7058823529411765,19,0.7,19,0.2,46,0.2631578947368421,46,0.3103448275862069,46
