Rank,Value,Type,Role,version,id,key,name,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,win_rate,pick_rate,average_KDA,HardCCs,ban_rate,pick_ban_rate
0,235,Allies,ADC,9.22.1,Lucian,236,Lucian,the Purifier,"Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeance—but even with her return to...",Marksman',,Mana,8,5,3,6,Lucian.png,champion2.png,champion,192,0,48,48,571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.176,0.7,64,2.75,3.3,0.638,0.475543984,0.153243274,2.176001622,伪,0.016729366,0.169972640
0,235,Allies,ADC,9.22.1,MissFortune,21,Miss Fortune,the Bounty Hunter,"A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her family—an act she brutally...",Marksman',,Mana,8,2,5,1,MissFortune.png,champion2.png,champion,48,48,48,48,541,91,325.84,35,325,28,3,30,0.5,550,3.75,0.65,8.042,0.65,50,2.7,3,0.656,0.539026630,0.155181259,2.147157518,伪,0.024452804,0.179634063
0,51,Allies,ADC,9.22.1,Senna,235,Senna,the Redeemer,"Cursed from childhood to be haunted by the supernatural Black Mist, Senna joined a sacred order known as the Sentinels of Light, and fiercely fought back—only to be killed, her soul imprisoned in a lantern by the cruel wraith Thresh. But refusing to...",Marksman',Mage',Mana,7,2,6,7,Senna.png,champion3.png,champion,432,0,48,48,520,85,350,45,330,28,3.5,30,0.5,600,3.5,0.55,11.5,0.4,50,0,4,0.625,0.489932886,0.242048564,1.740080469,真,0.405551756,0.647600319
0,235,Allies,ADC,9.22.1,Sivir,15,Sivir,the Battle Mistress,"Sivir is a renowned fortune hunter and mercenary captain who plies her trade in the deserts of Shurima. Armed with her legendary jeweled crossblade, she has fought and won countless battles for those who can afford her exorbitant price. Known for her...",Marksman',,Mana,9,3,1,4,Sivir.png,champion3.png,champion,240,48,48,48,532,88,284,50,335,26,3.25,30,0.5,500,3.25,0.55,8,0.9,61,3,1.6,0.625,0.514705882,0.044573643,2.113378099,伪,0.008150935,0.052724578
0,51,Allies,ADC,9.22.1,Swain,50,Swain,the Noxian Grand General,"Jericho Swain is the visionary ruler of Noxus, an expansionist nation that reveres only strength. Though he was cast down and crippled in the Ionian wars, his left arm severed, he seized control of the empire with ruthless determination… and a new...",Mage',Fighter',Mana,2,6,9,8,Swain.png,champion3.png,champion,432,48,48,48,525,85,468,28.5,335,22.72,4,30,0.5,525,7,0.65,8,0.8,58,2.7,2.11,0.625,0.509322419,0.062670999,1.809660190,真,0.028214774,0.090885773
0,235,Allies,ADC,9.22.1,Tristana,18,Tristana,the Yordle Gunner,"While many other yordles channel their energy into discovery, invention, or just plain mischief-making, Tristana was always inspired by the adventures of great warriors. She had heard much about Runeterra, its factions, and its wars, and believed her...",Marksman',Assassin',Mana,9,3,5,4,Tristana.png,champion3.png,champion,384,96,48,48,559,88,250,32,325,26,3,30,0.5,525,3.75,0.65,7.2,0.45,61,3.3,1.5,0.656,0.502565564,0.099977200,2.394954839,真,0.012853397,0.112830597
0,235,Allies,ADC,9.22.1,Twitch,29,Twitch,the Plague Rat,"A Zaunite plague rat by birth, but a connoisseur of filth by passion, Twitch is not afraid to get his paws dirty. Aiming a chem-powered crossbow at the gilded heart of Piltover, he has vowed to show those in the city above just how filthy they really...",Marksman',Assassin',Mana,9,2,3,6,Twitch.png,champion4.png,champion,96,0,48,48,582,84,287.2,40,330,27,3,30,0.5,550,3.75,0.6,7.256,0.45,59,3.11,3.38,0.679,0.534239415,0.054520064,2.421680265,伪,0.008122435,0.062642499
0,235,Allies,ADC,9.22.1,Varus,110,Varus,the Arrow of Retribution,"One of the ancient darkin, Varus was a deadly killer who loved to torment his foes, driving them almost to insanity before delivering the killing arrow. He was imprisoned at the end of the Great Darkin War, but escaped centuries later in the remade...",Marksman',Mage',Mana,7,3,4,2,Varus.png,champion4.png,champion,240,0,48,48,500,89,360,33,330,27,3.4,30,0.5,575,3.5,0.55,8,0.8,61,3.11,3,0.658,0.486851991,0.037933197,2.144308139,真,0.001453488,0.039386685
0,157,Allies,ADC,9.22.1,Vayne,67,Vayne,the Night Hunter,"Shauna Vayne is a deadly, remorseless Demacian monster hunter, who has dedicated her life to finding and destroying the demon that murdered her family. Armed with a wrist-mounted crossbow and a heart full of vengeance, she is only truly happy when...",Marksman',Assassin',Mana,10,1,1,8,Vayne.png,champion4.png,champion,288,0,48,48,515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.972,0.4,60,2.36,3.3,0.658,0.504369825,0.123917009,2.166156537,真,0.051499088,0.175416097
0,245,Allies,ADC,9.22.1,Xayah,498,Xayah,the Rebel,"Deadly and precise, Xayah is a vastayan revolutionary waging a personal war to save her people. She uses her speed, guile, and razor-sharp feather blades to cut down anyone who stands in her way. Xayah fights alongside her partner and lover, Rakan, to...",Marksman',,Mana,10,6,1,5,Xayah.png,champion4.png,champion,192,48,48,48,561,86,340,40,325,25,3,30,0.5,525,3.25,0.75,8.25,0.75,60,2.9,3.3,0.625,0.472764412,0.125569995,2.161402455,真,0.059222526,0.184792522
0,145,Allies,ADC,9.22.1,Yasuo,157,Yasuo,the Unforgiven,"An Ionian of deep resolve, Yasuo is an agile swordsman who wields the air itself against his enemies. As a proud young man, he was falsely accused of murdering his master—unable to prove his innocence, he was forced to slay his own brother in self...",Fighter',Assassin',Flow,8,4,4,10,Yasuo.png,champion4.png,champion,336,48,48,48,523,87,100,0,345,30,3.4,30,1.25,175,6.5,0.9,0,0,60,3.2,2.5,0.697,0.503107306,0.206366849,1.964960605,真,0.524965800,0.731332649
0,51,Allies,Mid,9.22.1,Aatrox,266,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580,90,0,0,345,38,3.25,32.1,1.25,175,3,1,0,0,60,5,2.5,0.651,0.454059829,0.053351573,1.905561993,真,0.053408573,0.106760146
0,51,Allies,Mid,9.22.1,Ahri,103,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526,92,418,25,330,20.88,3.5,30,0.5,550,6.5,0.6,8,0.8,53.04,3,2,0.668,0.513546423,0.093621751,2.166279212,真,0.055717054,0.149338805
0,235,Allies,Mid,9.22.1,Akali,84,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575,95,200,0,345,23,3.5,37,1.25,125,8,0.5,50,0,62.4,3.3,3.2,0.625,0.456450735,0.104708162,2.213386182,伪,0.193142955,0.297851117
0,51,Allies,Mid,9.22.1,Anivia,34,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480,82,495,25,325,21.22,4,30,0.5,600,5.5,0.55,8,0.8,51.376,3.2,1.68,0.625,0.512338425,0.024253306,2.130705394,真,0.011399909,0.035653215
0,235,Allies,Mid,9.22.1,Annie,1,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524,88,418,25,335,19.22,4,30,0.5,625,5.5,0.55,8,0.8,50.41,2.625,1.36,0.579,0.485905045,0.038417693,2.021747623,真,0.012482900,0.050900593
0,235,Allies,Mid,9.22.1,AurelionSol,136,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575,92,350,50,325,19,3.6,30,0.5,550,7,0.6,6,0.8,57,3.2,1.36,0.625,0.558441558,0.010972412,2.128970164,真,0.002678979,0.013651391
0,145,Allies,Mid,9.22.1,Azir,268,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552,92,438,21,335,19.04,3,30,0.5,525,7,0.75,8,0.8,52,2.8,3,0.625,0.445812808,0.011570907,1.964669052,真,0.002507980,0.014078887
0,235,Allies,Mid,9.22.1,Camille,164,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,68,3.5,2.5,0.644,0.471195652,0.052439580,1.957811649,真,0.013337893,0.065777474
0,51,Allies,Mid,9.22.1,Cassiopeia,69,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575,90,350,40,328,20,3.5,30,0.5,550,5.5,0.5,8,0.8,53,3,1.5,0.647,0.518057285,0.022885317,2.05,真,0.006982444,0.029867761
0,157,Allies,Mid,9.22.1,Chogath,31,Cho'Gath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40,345,38,3.5,32.1,1.25,125,9,0.85,7.206,0.45,69,4.2,1.44,0.625,0.481305235,0.041923165,2.029929351,真,0.007837437,0.049760602
0,51,Allies,Mid,9.22.1,Corki,42,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518,87,350.16,34,325,28,3.5,30,0.5,550,5.5,0.55,7.424,0.55,55,2.5,2.3,0.638,0.430188679,0.007552440,2.136585366,伪,0.001652987,0.009205426
0,235,Allies,Mid,9.22.1,Diana,131,Diana,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Fighter',Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594,95,372,20,345,31,3.6,32.1,1.25,150,7.5,0.85,8,0.8,53.04,3,2.25,0.625,0.505045141,0.053665071,2.217177050,真,0.028357273,0.082022344
0,235,Allies,Mid,9.22.1,Ekko,245,Ekko,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",Assassin',Fighter',Mana,5,3,7,8,Ekko.png,champion0.png,champion,144,96,48,48,585,85,280,50,340,32,3,32,1.25,125,9,0.9,7,0.8,58,3,3.3,0.688,0.533045777,0.204827861,2.379167757,真,0.394408345,0.599236206
0,235,Allies,Mid,9.22.1,Ezreal,81,Ezreal,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Marksman',Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491,86,360.6,42,325,22,3.5,30,0.5,550,4,0.55,8.092,0.65,60,2.5,1.5,0.625,0.454246101,0.164443684,2.060741667,伪,0.035339717,0.199783402
0,145,Allies,Mid,9.22.1,Fizz,105,Fizz,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",Assassin',Fighter',Mana,6,4,7,6,Fizz.png,champion0.png,champion,432,96,48,48,570,98,317.2,37,335,22.412,3.4,32.1,1.25,175,8,0.7,6,0.8,58.04,3,3.1,0.658,0.527954972,0.075951892,2.472875289,真,0.153043776,0.228995668
0,145,Allies,Mid,9.22.1,Galio,3,Galio,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",Tank',Mage',Mana,1,10,6,5,Galio.png,champion1.png,champion,0,0,48,48,562,112,500,40,335,24,3.5,32,1.25,150,8,0.8,9.5,0.7,59,3.5,1.5,0.625,0.517948718,0.044459644,1.889930305,真,0.010117419,0.054577063
0,51,Allies,Mid,9.22.1,Garen,86,Garen,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",Fighter',Tank',None,7,7,1,5,Garen.png,champion1.png,champion,96,0,48,48,620,84,0,0,340,36,3,32.1,1.25,175,8,0.5,0,0,66,4.5,3.65,0.625,0.518996772,0.114768582,2.242063919,伪,0.249145007,0.363913589
0,235,Allies,Mid,9.22.1,Heimerdinger,74,Heimerdinger,the Revered Inventor,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...",Mage',Support',Mana,2,6,8,8,Heimerdinger.png,champion1.png,champion,336,0,48,48,488,87,385,20,340,19.04,3,30,0.5,550,7,0.55,8,0.8,55.536,2.7,1.36,0.625,0.530978934,0.045998632,1.863882619,真,0.017669859,0.063668491
0,51,Allies,Mid,9.22.1,Irelia,39,Irelia,the Blade Dancer,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...",Fighter',Assassin',Mana,7,4,5,5,Irelia.png,champion1.png,champion,432,0,48,48,580,95,350,30,335,36,3,32,1.25,200,8.5,0.85,8,0.8,63,4,2.5,0.656,0.439980159,0.057455540,2.049681127,真,0.037334701,0.094790242
0,235,Allies,Mid,9.22.1,Jayce,126,Jayce,the Defender of Tomorrow,"Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...",Fighter',Marksman',Mana,8,4,3,7,Jayce.png,champion1.png,champion,192,48,48,48,560,90,357.2,37,335,27,3.5,30,0.5,125,6,0.6,6,0.8,54,4.25,3,0.658,0.471131640,0.024680803,1.960031502,真,0.006326949,0.031007752
0,51,Allies,Mid,9.22.1,Kassadin,38,Kassadin,the Void Walker,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...",Assassin',Mage',Mana,3,5,8,8,Kassadin.png,champion1.png,champion,48,96,48,48,576,90,397.6,67,340,19,2.8,30,0.5,150,6,0.5,6,0.8,58.852,3.9,3.7,0.64,0.513714286,0.049874601,2.427056630,伪,0.060191518,0.110066119
0,235,Allies,Mid,9.22.1,Katarina,55,Katarina,the Sinister Blade,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...",Assassin',Mage',None,4,3,9,8,Katarina.png,champion1.png,champion,96,96,48,48,602,94,0,0,340,27.88,3.5,32.1,1.25,125,7.5,0.7,0,0,58,3.2,2.74,0.658,0.503861004,0.059051528,2.342203584,伪,0.053921569,0.112973096
0,145,Allies,Mid,9.22.1,Kayle,10,Kayle,the Righteous,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...",Fighter',Support',Mana,6,6,7,7,Kayle.png,champion1.png,champion,144,96,48,48,600,85,330,50,335,26,3,34,0.5,175,5,0.5,8,0.8,50,2.5,1.5,0.625,0.531257317,0.121722526,1.898344531,伪,0.277559280,0.399281806
0,235,Allies,Mid,9.22.1,Kennen,85,Kennen,the Heart of the Tempest,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...",Mage',Marksman',Energy,6,4,7,4,Kennen.png,champion1.png,champion,240,96,48,48,541,84,200,0,335,29,3.75,30,0.5,550,5.5,0.65,50,0,48,3.75,3.4,0.625,0.511875512,0.034798222,1.976072739,真,0.016786366,0.051584587
0,235,Allies,Mid,9.22.1,Kled,240,Kled,the Cantankerous Cavalier,"A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...",Fighter',Tank',Courage,8,2,2,7,Kled.png,champion1.png,champion,384,96,48,48,340,70,100,0,345,35,4,32.1,1.25,125,6,0.75,0,0,65,3.5,3.5,0.625,0.525348542,0.044972640,2.187492351,真,0.048250114,0.093222754
0,51,Allies,Mid,9.22.1,Leblanc,7,LeBlanc,the Deceiver,"Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone...",Assassin',Mage',Mana,1,4,10,9,Leblanc.png,champion2.png,champion,0,0,48,48,528,92,334,50,340,21.88,3.5,30,0.5,525,7.5,0.55,6,0.8,54.88,3.5,1.4,0.625,0.481779207,0.053180575,2.457936597,真,0.056971044,0.110151619
0,235,Allies,Mid,9.22.1,Lissandra,127,Lissandra,the Ice Witch,"Lissandra's magic twists the pure power of ice into something dark and terrible. With the force of her black ice, she does more than freeze—she impales and crushes those who oppose her. To the terrified denizens of the north, she is known only as ''The...",Mage',,Mana,2,5,8,6,Lissandra.png,champion2.png,champion,144,0,48,48,550,90,475,30,325,22,3.7,30,0.5,550,7,0.55,8,0.4,53,2.7,1.36,0.656,0.499485067,0.027673279,1.953864832,真,0.009176927,0.036850205
0,235,Allies,Mid,9.22.1,Lucian,236,Lucian,the Purifier,"Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeance—but even with her return to...",Marksman',,Mana,8,5,3,6,Lucian.png,champion2.png,champion,192,0,48,48,571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.176,0.7,64,2.75,3.3,0.638,0.475543984,0.153243274,2.176001622,伪,0.016729366,0.169972640
0,51,Allies,Mid,9.22.1,Lux,99,Lux,the Lady of Luminosity,"Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve...",Mage',Support',Mana,2,4,9,5,Lux.png,champion2.png,champion,288,0,48,48,490,85,480,23.5,330,18.72,4,30,0.5,550,5.5,0.55,8,0.8,53.54,3.3,1,0.669,0.503714404,0.138109895,1.853154288,真,0.021973324,0.160083219
0,157,Allies,Mid,9.22.1,Malphite,54,Malphite,Shard of the Monolith,"A massive creature of living stone, Malphite struggles to impose blessed order on a chaotic world. Birthed as a servitor-shard to an otherworldly obelisk known as the Monolith, he used his tremendous elemental strength to maintain and protect his...",Tank',Fighter',Mana,5,9,7,2,Malphite.png,champion2.png,champion,336,0,48,48,574.2,90,282.2,40,335,37,3.75,32.1,1.25,125,7,0.55,7.324,0.55,61.97,4,3.4,0.736,0.499848439,0.094020748,1.971902718,真,0.110237118,0.204257866
